species,A,SF,H,TC,SC
Crypturellus_bartletti,0.3398081708444362,-0.062589753472249,-0.0870361899199316,35.94248379692495,1876.628134961533
Crypturellus_soui,-0.4133079665944464,0.0509450965288422,-0.0064536188631779,37.626871356798354,1960.4385930965475
Crypturellus_brevirostris,-0.1715883350802284,0.0189884373504014,-0.1016600536353638,36.017395476919646,1984.6988479064216
Crypturellus_cinnamomeus,-0.2354169653634903,-0.2147038024328282,-0.1435755906016729,37.60024676909991,1366.3577817381029
Crypturellus_cinereus,-0.2398140892408763,-1.269058653024012,-0.2053894337611538,38.86481202710675,1755.4427431468946
Crypturellus_erythropus,-0.3228475568893282,-0.5226538283787039,-0.1040424294891112,37.04352802862685,995.045765780412
Crypturellus_obsoletus,-0.0867914248858326,0.3608839257092817,0.1234375531573304,36.39757118172582,2298.528089795217
Crypturellus_parvirostris,0.425968689045234,0.8057057124458697,0.1846781714132828,33.78398011675185,1908.2518466016895
Crypturellus_ptaritepui,-0.4372424854146955,-0.3898021914112972,0.0407878684916509,37.46560371801631,3785.0773429384526
Crypturellus_atrocapillus,0.0603159369525173,0.6293638864005255,0.0524134709511667,36.72295991119469,1305.8013852929146
Crypturellus_berlepschi,-0.1116225875754112,-0.5032078603342556,-0.0767221001021629,37.3067910548876,4728.934976021117
Crypturellus_casiquiare,-0.2731004063208899,0.158635132673877,0.128656334690939,28.0618830546942,1760.0669401787018
Crypturellus_duidae,-0.5203021514074285,-0.3725038705764156,-0.0833544399468401,34.333151698574895,1294.35611874919
Crypturellus_kerriae,-0.209754900424134,-0.1055214015371017,-0.0766708509137754,36.769811332486505,1107.1421359659005
Crypturellus_noctivagus,-0.167023512656132,-0.3254897255350233,-0.0741380238878885,37.9791229161069,740.0703908123623
Crypturellus_boucardi,-0.4872892959715399,-0.8523943884203922,-0.128979717636978,37.10996299909211,801.2504284897708
Crypturellus_tataupa,0.1172419276247416,0.8508320389502781,0.2365187178563093,35.513118085747884,1863.6119627066544
Crypturellus_strigulosus,-0.7393447663337191,-0.6425187195426059,-0.0800326894447344,37.412469437787045,1417.6461977423614
Crypturellus_transfasciatus,0.1964561384697308,0.8231961845461593,0.1342304007324175,36.45944971522796,1751.1763564074604
Crypturellus_undulatus,0.0088362005752327,-0.2553580079113273,-0.0436321944715479,38.61366559225185,1266.8910285254417
Crypturellus_variegatus,-0.1167942008378352,0.3564168916107773,0.032857206516011,36.09134298344823,1579.632636734669
Eudromia_elegans,0.2541393268210473,0.5141814933871136,0.0998822239099533,37.249614113602505,2016.423216527203
Eudromia_formosa,0.3957943358433778,0.8093418206948293,0.0445565500446986,32.224114740557134,1686.8484552496186
Nothocercus_bonapartei,0.0429665835415659,0.2780146402472079,-0.0393543448378344,37.81783214896876,1344.248479955942
Nothura_boraquira,0.1568317792825614,-0.4391925933250369,-0.0972279204140685,35.95929730958118,2592.497792446806
Nothoprocta_cinerascens,0.0443345376666675,-0.0462273006638946,0.1174554688855097,36.66817247632442,2629.0038019046324
Nothura_darwinii,0.2583068767248837,0.9275975507834292,-0.0063848215888108,28.68830870685247,2433.838865264951
Nothocercus_julius,-0.0438546907748936,0.3997534650543302,0.0795737078294686,37.0721801898455,1725.3976930708045
Nothura_maculosa,1.0462723770732216,0.8198800452167414,0.0623760948599944,32.9708369719728,2623.8962259185537
Nothocercus_nigrocapillus,-0.0707633538591142,0.2254940529702294,0.1314246626173766,35.37973386945275,1885.536239736684
Nothoprocta_ornata,0.4067829516924707,0.3508244993617186,0.1384190575955042,25.941885104870096,3255.0801363656774
Nothoprocta_curvirostris,0.0769783253788372,0.0292948092300717,0.110117711537929,32.72821928349901,4538.819809427412
Nothura_minor,-0.1371513600364131,-0.9351713497215232,-0.1809626359568573,34.0696995200679,3652.6348955185135
Nothoprocta_perdicaria,0.2148315914412259,0.5647122678327077,0.2113637466787717,32.993474035234335,4390.303929356582
Nothoprocta_pentlandii,0.1078737152514141,0.514344902436342,0.2249215593893253,35.96763038311036,3773.110116820658
Nothoprocta_taczanowskii,-0.0713209823068629,0.3118096131537793,0.2085873408318247,34.48424189542055,4802.393393488689
Rhynchotus_maculicollis,0.2893528628808264,0.7678547618093825,0.1668017551426682,36.20740575325421,2011.1758537928777
Rhynchotus_rufescens,0.3292680293143969,0.6023941187877526,0.1238153415024785,38.306933475819086,2045.9194139894576
Taoniscus_nanus,0.916933661821316,0.4288755670512549,0.0607348454836461,38.32297805796873,4228.316867275831
Tinamus_guttatus,-0.1299174330148225,-0.8470890779148759,-0.0954536043945478,36.52486380240552,1082.2327982517418
Tinamotis_ingoufi,-0.1358809536885314,0.1853911773107612,-0.0058494562619489,36.58477529295359,1587.746165071983
Tinamus_major,-0.320878431953863,0.4612736522160565,-0.0117979282830715,35.513959654029534,1314.3421160404614
Tinamus_osgoodi,-0.3798285953543587,-0.5425145879214979,-0.017026800742339,30.521001190550074,1109.885109754173
Tinamotis_pentlandii,-0.0600356520824481,0.6629317299461164,0.1250291683632861,35.62899485303349,1531.0176816817327
Tinamus_solitarius,-0.2780883925320903,0.2369096797292633,-0.1005857295912097,36.41850444024935,1374.4183403107704
Tinamus_tao,-0.1036848302597733,0.0851130966584661,-0.1688119310711561,36.785332315865446,1229.0470815470453
